zip,lat,lng
00909,18.4415,-66.0673
00911,18.4513,-66.0563
00912,18.4453,-66.0602
00913,18.4502,-66.0427
00915,18.4369,-66.0456
00917,18.4214,-66.0501
00918,18.4214,-66.0659
00920,18.4158,-66.0889
00921,18.3922,-66.0886
00923,18.4095,-66.0387
00924,18.3983,-66.0129
00925,18.4003,-66.0505
00926,18.3462,-66.0524
00927,18.3888,-66.0719
00934,18.4114,-66.124
00936,18.3955,-66.0738
00949,18.4302,-66.2088
00950,18.4621,-66.2376
00951,18.4284,-66.2566
00952,18.4275,-66.1821
00953,18.3631,-66.2475
00956,18.3208,-66.1717
00957,18.3673,-66.1887
00959,18.3849,-66.1559
00960,18.417,-66.1445
00961,18.4101,-66.1654
00962,18.439,-66.1392
00965,18.4337,-66.1148
00966,18.4023,-66.1176
00968,18.4061,-66.1012
00969,18.3675,-66.1085
00971,18.3213,-66.1181
00976,18.3385,-65.9921
00979,18.4365,-66.0169
00982,18.4099,-65.9917
00983,18.4179,-65.9763
00985,18.4082,-65.9485
00987,18.3393,-65.9431
01001,42.0626,-72.6259
01002,42.3749,-72.4621
01003,42.3919,-72.5248
01005,42.4202,-72.1061
01007,42.2787,-72.4003
01008,42.1843,-72.952
01009,42.2095,-72.3396
01010,42.1286,-72.2062
01011,42.2966,-72.9597
01012,42.387,-72.8463
01013,42.1595,-72.6083
01020,42.1764,-72.5653
01022,42.1973,-72.5427
01026,42.4633,-72.9203
01027,42.2951,-72.7431
01028,42.0597,-72.4991
01029,42.1963,-73.0484
01030,42.0689,-72.68
01031,42.3294,-72.1983
01032,42.4503,-72.813
01033,42.2608,-72.5036
01034,42.0849,-72.9576
01035,42.3556,-72.5692
01036,42.0637,-72.4159
01037,42.3701,-72.1977
01038,42.3855,-72.607
01039,42.4063,-72.6937
01040,42.2126,-72.6411
01050,42.2879,-72.8699
01053,42.3535,-72.7116
01054,42.4736,-72.4875
01056,42.1922,-72.458
01057,42.0917,-72.3243
01060,42.3222,-72.6313
01062,42.3219,-72.6928
01063,42.319,-72.639
01066,42.4076,-72.6548
01068,42.35,-72.0461
01069,42.1881,-72.3054
01070,42.5185,-72.9239
01071,42.1604,-72.86
01072,42.4574,-72.4184
01073,42.2308,-72.7386
01074,42.3865,-72.0944
01075,42.2567,-72.5792
01077,42.0544,-72.7785
01079,42.1944,-72.3301
01080,42.1821,-72.3657
01081,42.0623,-72.231
01082,42.2948,-72.2778
01083,42.2038,-72.1949
01084,42.3903,-72.8809
01085,42.1538,-72.7697
01086,42.1304,-72.7941
01088,42.3901,-72.6478
01089,42.1253,-72.6502
01092,42.1997,-72.2372
01093,42.4344,-72.653
01094,42.3595,-72.1385
01095,42.1277,-72.43
01096,42.4042,-72.7682
01097,42.1768,-72.8327
01098,42.3946,-72.9424
01103,42.104,-72.5921
01104,42.134,-72.5668
01105,42.0992,-72.579
01106,42.0479,-72.5718
01107,42.1213,-72.6055
01108,42.0805,-72.5599
01109,42.1184,-72.5488
01118,42.0948,-72.5253
01119,42.1245,-72.5112
01128,42.0949,-72.4881
01129,42.121,-72.4878
01151,42.1529,-72.5088
01199,42.1207,-72.6045
01201,42.4499,-73.2765
01220,42.6237,-73.1172
01222,42.059,-73.3208
01223,42.3118,-73.0995
01224,42.5066,-73.1975
01225,42.5627,-73.1548
01226,42.4817,-73.1399
01229,42.2779,-73.3322
01230,42.1847,-73.3437
01235,42.4298,-73.0724
01236,42.2666,-73.3767
01237,42.5497,-73.2626
01238,42.2952,-73.2289
01240,42.3721,-73.2764
01242,42.3333,-73.2492
01243,42.3515,-73.0232
01244,42.1161,-73.2627
01245,42.1881,-73.2189
01247,42.6955,-73.0799
01253,42.2118,-73.1161
01254,42.3798,-73.3655
01255,42.1083,-73.1229
01256,42.5963,-73.0196
01257,42.097,-73.3689
01258,42.1026,-73.4617
01259,42.0755,-73.2357
01260,42.2959,-73.3452
01262,42.2935,-73.3177
01264,42.2341,-73.199
01266,42.308,-73.3841
01267,42.672,-73.239
01270,42.5149,-73.0412
01301,42.624,-72.604
01330,42.5138,-72.8139
01331,42.5673,-72.1829
01337,42.6951,-72.5772
01338,42.5736,-72.8214
01339,42.608,-72.8901
01340,42.6833,-72.7185
01341,42.5045,-72.7051
01342,42.5445,-72.6059
01343,42.6544,-72.9811
01344,42.6078,-72.4288
01346,42.6889,-72.8175
01347,42.5614,-72.517
01349,42.5727,-72.4833
01350,42.7226,-72.9824
01351,42.5429,-72.5191
01354,42.6338,-72.5111
01355,42.4529,-72.3305
01360,42.6758,-72.446
01364,42.6129,-72.2924
01366,42.4805,-72.1878
01367,42.6958,-72.9118
01368,42.6808,-72.186
01370,42.5966,-72.7286
01373,42.4729,-72.6156
01375,42.4651,-72.5546
01376,42.5954,-72.5557
01378,42.6748,-72.3458
01379,42.5528,-72.4025
01420,42.5858,-71.8166
01430,42.6602,-71.9237
01431,42.6765,-71.8232
01432,42.5647,-71.5714
01434,42.5385,-71.6115
01436,42.6055,-72.0885
01438,42.5618,-72.0317
01440,42.5874,-71.9865
01450,42.6137,-71.5614
01451,42.5012,-71.5738
01452,42.4838,-72.0051
01453,42.5186,-71.7614
01460,42.535,-71.4891
01462,42.5897,-71.7199
01463,42.6713,-71.6043
01464,42.5734,-71.6484
01467,42.4878,-71.6173
01468,42.5521,-72.0689
01469,42.6667,-71.694
01473,42.5512,-71.9026
01474,42.6678,-71.7522
01475,42.6667,-72.049
01501,42.1972,-71.8453
01503,42.3838,-71.6355
01504,42.0399,-71.5311
01505,42.3563,-71.7212
01506,42.1936,-72.1045
01507,42.1351,-71.968
01510,42.4119,-71.6888
01515,42.2032,-72.0467
01516,42.0528,-71.7509
01518,42.1235,-72.1186
01519,42.201,-71.6801
01520,42.3354,-71.8528
01521,42.0601,-72.166
01522,42.3814,-71.8691
01523,42.4797,-71.6785
01524,42.2492,-71.9198
01525,42.1068,-71.6324
01527,42.1922,-71.7742
01529,42.039,-71.5775
01531,42.3193,-72.128
01532,42.3231,-71.6462
01534,42.1404,-71.6429
01535,42.2695,-72.0779
01536,42.2324,-71.691
01537,42.1616,-71.8915
01540,42.1163,-71.8573
01541,42.4565,-71.8813
01542,42.2019,-71.9108
01543,42.3848,-71.9673
01545,42.2843,-71.7155
01550,42.0604,-72.0338
01560,42.175,-71.6775
01561,42.444,-71.6855
01562,42.2471,-71.9919
01564,42.4412,-71.773
01566,42.1024,-72.0812
01568,42.177,-71.6046
01569,42.0587,-71.6371
01570,42.052,-71.8485
01571,42.055,-71.9352
01581,42.2681,-71.614
01583,42.3702,-71.785
01585,42.2415,-72.1619
01588,42.12,-71.6695
01590,42.134,-71.7509
01602,42.2722,-71.8495
01603,42.2441,-71.8444
01604,42.2515,-71.7677
01605,42.2895,-71.7875
01606,42.3144,-71.7956
01607,42.2274,-71.7887
01608,42.2619,-71.8016
01609,42.2864,-71.829
01610,42.2467,-71.8096
01611,42.2383,-71.8772
01612,42.3104,-71.9308
01701,42.3217,-71.4382
01702,42.2822,-71.4339
01718,42.5197,-71.4295
01719,42.4884,-71.5178
01720,42.4842,-71.4381
01721,42.2573,-71.4687
01730,42.4969,-71.2784
01731,42.4567,-71.2795
01740,42.4362,-71.6073
01741,42.53,-71.3513
01742,42.4623,-71.3643
01745,42.2918,-71.5011
01746,42.1977,-71.445
01747,42.1248,-71.535
01748,42.2255,-71.5378
01749,42.3887,-71.5465
01752,42.3494,-71.5468
01754,42.4264,-71.4561
01756,42.093,-71.5515
01757,42.1568,-71.5191
01760,42.2844,-71.3498
01770,42.2342,-71.3753
01772,42.3014,-71.5304
01773,42.4252,-71.3104
01775,42.4298,-71.5114
01776,42.3847,-71.4234
01778,42.3583,-71.3592
01801,42.4869,-71.1543
01803,42.5022,-71.2026
01810,42.6465,-71.165
01821,42.5502,-71.2522
01824,42.5911,-71.3556
01826,42.6832,-71.3006
01827,42.6764,-71.5005
01830,42.7959,-71.0531
01832,42.791,-71.1313
01833,42.724,-70.9821
01834,42.752,-71.0148
01835,42.7529,-71.0859
01840,42.7069,-71.1603
01841,42.7108,-71.1651
01843,42.6898,-71.1611
01844,42.734,-71.1889
01845,42.6714,-71.0866
01850,42.6557,-71.3029
01851,42.6281,-71.3356
01852,42.6323,-71.2953
01854,42.6491,-71.348
01860,42.8386,-71.0119
01862,42.5749,-71.2934
01863,42.6324,-71.3906
01864,42.5815,-71.0875
01867,42.535,-71.1056
01876,42.6122,-71.2275
01879,42.6664,-71.4287
01880,42.5023,-71.067
01886,42.5864,-71.4401
01887,42.561,-71.1654
01890,42.4518,-71.1463
01901,42.4609,-70.9465
01902,42.4708,-70.9399
01904,42.4915,-70.9727
01905,42.4662,-70.9759
01906,42.468,-71.0145
01907,42.4758,-70.9067
01908,42.4293,-70.927
01913,42.853,-70.9446
01915,42.5681,-70.8627
01921,42.6815,-71.0189
01922,42.7587,-70.9145
01923,42.574,-70.9493
01929,42.6346,-70.7771
01930,42.6259,-70.6897
01937,42.5857,-70.9842
01938,42.6836,-70.8429
01940,42.5346,-71.0375
01944,42.5815,-70.7683
01945,42.4991,-70.8637
01949,42.6043,-71.0165
01950,42.8124,-70.8879
01951,42.778,-70.8498
01952,42.8465,-70.8616
01960,42.5337,-70.9722
01966,42.6543,-70.6223
01969,42.7212,-70.8929
01970,42.5126,-70.9038
01982,42.6267,-70.8579
01983,42.6372,-70.9426
01984,42.6008,-70.8826
01985,42.7939,-70.9691
02019,42.0777,-71.4741
02021,42.1752,-71.1265
02025,42.236,-70.819
02026,42.2467,-71.1778
02030,42.2366,-71.2842
02032,42.1549,-71.2155
02035,42.0627,-71.2461
02038,42.0862,-71.4113
02043,42.2168,-70.885
02045,42.2844,-70.8827
02047,42.1335,-70.6867
02048,42.0163,-71.2187
02050,42.1149,-70.7147
02052,42.1848,-71.305
02053,42.1535,-71.429
02054,42.1693,-71.3625
02056,42.1164,-71.3296
02061,42.1608,-70.8177
02062,42.186,-71.1949
02066,42.2015,-70.7618
02067,42.1081,-71.1814
02071,42.1028,-71.2721
02072,42.1192,-71.1019
02081,42.1465,-71.2588
02090,42.2202,-71.2107
02093,42.0513,-71.3552
02108,42.3577,-71.0651
02109,42.3648,-71.053
02110,42.3583,-71.0518
02111,42.3501,-71.0591
02113,42.3653,-71.0553
02114,42.3632,-71.0673
02115,42.341,-71.0946
02116,42.3505,-71.0756
02118,42.3382,-71.0708
02119,42.3241,-71.0848
02120,42.3321,-71.0964
02121,42.3059,-71.0859
02122,42.3001,-71.0335
02124,42.2857,-71.071
02125,42.3154,-71.0559
02126,42.2743,-71.0938
02127,42.3348,-71.0393
02128,42.3728,-71.0166
02129,42.3798,-71.0617
02130,42.3099,-71.1149
02131,42.2847,-71.1265
02132,42.2802,-71.1615
02134,42.3578,-71.1295
02135,42.3498,-71.1539
02136,42.2554,-71.1293
02138,42.3801,-71.1346
02139,42.3625,-71.1031
02140,42.3933,-71.1332
02141,42.37,-71.0828
02142,42.3618,-71.082
02143,42.3814,-71.0968
02144,42.4006,-71.1218
02145,42.392,-71.0895
02148,42.4305,-71.0576
02149,42.4064,-71.0545
02150,42.3959,-71.0324
02151,42.4182,-71.0039
02152,42.3727,-70.9779
02155,42.4232,-71.1088
02163,42.3663,-71.1209
02169,42.2476,-71.0032
02170,42.2665,-71.0161
02171,42.2882,-71.0246
02176,42.4556,-71.0591
02180,42.4741,-71.0972
02184,42.2038,-71.0022
02186,42.2412,-71.0844
02188,42.2081,-70.9575
02189,42.2087,-70.9316
02190,42.1665,-70.9527
02191,42.2436,-70.9415
02199,42.3475,-71.082
02203,42.3605,-71.0589
02210,42.3478,-71.039
02215,42.3478,-71.103
02301,42.0779,-71.0422
02302,42.088,-70.9986
02322,42.1266,-71.0493
02324,41.9728,-70.9748
02330,41.8739,-70.7563
02332,42.0467,-70.715
02333,42.0351,-70.9424
02338,41.9914,-70.8632
02339,42.1224,-70.8565
02341,42.0558,-70.8723
02343,42.1473,-71.0048
02346,41.8803,-70.8742
02347,41.8313,-70.9591
02351,42.1173,-70.9595
02356,42.0551,-71.1206
02357,42.0577,-71.0807
02359,42.0654,-70.8014
02360,41.8786,-70.6306
02364,41.9861,-70.7482
02366,41.8508,-70.6572
02367,41.9634,-70.8097
02368,42.177,-71.0534
02370,42.1299,-70.911
02375,42.0175,-71.1015
02379,42.0214,-71.0267
02382,42.08,-70.9399
02420,42.4563,-71.2167
02421,42.4385,-71.24
02445,42.326,-71.1339
02446,42.3435,-71.1217
02451,42.3982,-71.2571
02452,42.3936,-71.2196
02453,42.3691,-71.2403
02457,42.2984,-71.2684
02458,42.3528,-71.1875
02459,42.315,-71.1917
02460,42.352,-71.2083
02461,42.3168,-71.2085
02462,42.3299,-71.2562
02464,42.3129,-71.2195
02465,42.3491,-71.2266
02466,42.3441,-71.2481
02467,42.3164,-71.1612
02468,42.3272,-71.2308
02472,42.37,-71.1773
02474,42.4202,-71.1565
02476,42.4162,-71.1752
02478,42.396,-71.1796
02481,42.313,-71.2744
02482,42.2938,-71.2999
02492,42.2761,-71.2437
02493,42.359,-71.3001
02494,42.2997,-71.232
02532,41.7516,-70.5972
02534,41.6672,-70.6199
02535,41.349,-70.7463
02536,41.5969,-70.5672
02537,41.7295,-70.4401
02538,41.777,-70.6491
02539,41.3799,-70.5322
02540,41.572,-70.6279
02542,41.7026,-70.5469
02543,41.4934,-70.7311
02553,41.7133,-70.6188
02554,41.2854,-70.0798
02556,41.6395,-70.6258
02557,41.4366,-70.58
02558,41.7448,-70.6535
02559,41.6916,-70.6151
02561,41.7689,-70.5332
02562,41.7872,-70.5269
02563,41.7196,-70.478
02564,41.2653,-69.9843
02568,41.4527,-70.6176
02571,41.7636,-70.698
02575,41.3999,-70.6545
02576,41.778,-70.7637
02584,41.2588,-70.0073
02601,41.6603,-70.2968
02630,41.7046,-70.3033
02631,41.7468,-70.0694
02632,41.6606,-70.3475
02633,41.6889,-69.9722
02635,41.6237,-70.4405
02637,41.7057,-70.2724
02638,41.7323,-70.1936
02639,41.6664,-70.1353
02641,41.7506,-70.1522
02642,41.8396,-69.977
02643,41.7657,-69.9365
02644,41.6843,-70.5102
02645,41.7042,-70.0608
02646,41.6708,-70.072
02647,41.6318,-70.3081
02648,41.6707,-70.4163
02649,41.6177,-70.4905
02650,41.7034,-69.9659
02651,41.875,-70.0035
02652,42.0441,-70.0947
02653,41.7688,-69.9739
02655,41.63,-70.3926
02657,42.0614,-70.1981
02659,41.6831,-70.0223
02660,41.7055,-70.1544
02663,41.9067,-69.9975
02664,41.6746,-70.1946
02666,41.9894,-70.0457
02667,41.9279,-70.0181
02668,41.7118,-70.3568
02669,41.6711,-69.9928
02670,41.6599,-70.1716
02671,41.6721,-70.111
02672,41.6356,-70.3179
02673,41.6573,-70.2466
02675,41.7048,-70.2306
02702,41.7845,-71.0611
02703,41.9311,-71.295
02713,41.4344,-70.8757
02715,41.8175,-71.1506
02717,41.7587,-70.9716
02718,41.8689,-71.0116
02719,41.6395,-70.8732
02720,41.7328,-71.1181
02721,41.6746,-71.1477
02723,41.6927,-71.1297
02724,41.684,-71.1794
02725,41.7125,-71.1843
02726,41.7607,-71.1444
02738,41.7091,-70.7636
02739,41.6687,-70.8171
02740,41.6379,-70.9381
02743,41.7138,-70.9012
02744,41.608,-70.9127
02745,41.6989,-70.9483
02746,41.6615,-70.9416
02747,41.6678,-71.0163
02748,41.5605,-70.979
02760,41.97,-71.3359
02762,42.0141,-71.3364
02763,41.9667,-71.3075
02764,41.8566,-71.1605
02766,41.964,-71.1842
02767,41.9371,-71.0511
02769,41.8439,-71.2456
02770,41.7585,-70.8409
02771,41.8379,-71.3174
02777,41.757,-71.2121
02779,41.8349,-71.0754
02780,41.9076,-71.1196
02790,41.5999,-71.0832
02791,41.528,-71.078
02802,41.9518,-71.4551
02804,41.4319,-71.7724
02806,41.7444,-71.3146
02807,41.1776,-71.5785
02808,41.4086,-71.7487
02809,41.6827,-71.2694
02812,41.4777,-71.6544
02813,41.3973,-71.6702
02814,41.8988,-71.6977
02815,41.773,-71.6583
02816,41.6909,-71.6198
02817,41.6292,-71.667
02818,41.6431,-71.493
02822,41.5673,-71.633
02825,41.7811,-71.7262
02826,41.974,-71.6371
02827,41.6978,-71.7395
02828,41.8779,-71.5595
02830,41.9821,-71.6496
02831,41.7526,-71.5891
02832,41.5083,-71.726
02833,41.4874,-71.7783
02835,41.515,-71.3771
02836,41.4523,-71.6205
02837,41.5152,-71.1646
02838,41.9651,-71.4762
02839,41.9428,-71.6431
02840,41.4778,-71.3203
02841,41.5133,-71.3238
02842,41.5174,-71.2771
02852,41.5877,-71.4608
02857,41.8293,-71.632
02858,41.9635,-71.6483
02859,41.9667,-71.7452
02860,41.87,-71.3883
02861,41.8784,-71.3523
02863,41.89,-71.3934
02864,41.9704,-71.4198
02865,41.9125,-71.4485
02871,41.584,-71.2563
02872,41.6172,-71.3289
02873,41.531,-71.7757
02874,41.5154,-71.4688
02875,41.4556,-71.6381
02876,41.9962,-71.5822
02878,41.6091,-71.1741
02879,41.4267,-71.5363
02881,41.4789,-71.5234
02882,41.4248,-71.4686
02885,41.7283,-71.2628
02886,41.7057,-71.4586
02888,41.7486,-71.4104
02889,41.7057,-71.3921
02891,41.3603,-71.7936
02892,41.4959,-71.5969
02893,41.6986,-71.5154
02894,41.4473,-71.7005
02895,42.001,-71.4993
02896,41.9724,-71.5509
02898,41.5153,-71.6757
02903,41.818,-71.409
02904,41.8603,-71.4353
02905,41.7872,-71.3989
02906,41.8392,-71.3899
02907,41.7983,-71.4255
02908,41.8391,-71.4369
02909,41.8203,-71.4514
02910,41.7756,-71.4357
02911,41.8547,-71.4735
02912,41.8256,-71.4022
02914,41.8137,-71.3651
02915,41.7776,-71.3501
02916,41.8445,-71.352
02917,41.9065,-71.5248
02919,41.8274,-71.5199
02920,41.7674,-71.466
02921,41.7622,-71.5174
03031,42.8704,-71.6081
03032,42.9905,-71.3438
03033,42.7464,-71.6707
03034,43.0634,-71.3118
03036,42.9673,-71.2507
03037,43.1396,-71.2526
03038,42.8889,-71.2796
03042,43.0501,-71.0748
03043,42.9939,-71.8135
03044,42.9887,-71.1252
03045,43.02,-71.5698
03046,43.1018,-71.6055
03047,42.9398,-71.8706
03048,42.7482,-71.762
03049,42.7495,-71.5838
03051,42.764,-71.4072
03052,42.843,-71.455
03053,42.8786,-71.3861
03054,42.8547,-71.519
03055,42.8177,-71.6738
03057,42.9027,-71.6841
03060,42.7412,-71.4592
03062,42.7222,-71.4957
03063,42.7795,-71.5193
03064,42.779,-71.4748
03070,42.9773,-71.6861
03071,42.7491,-71.8749
03076,42.7336,-71.324
03077,43.0329,-71.198
03079,42.7903,-71.2201
03082,42.9003,-71.7743
03084,42.829,-71.8551
03086,42.8294,-71.7713
03087,42.8076,-71.2994
03101,42.9889,-71.4659
03102,43.0076,-71.4911
03103,42.9533,-71.4443
03104,43.0094,-71.4414
03106,43.0713,-71.4367
03109,42.9662,-71.4018
03110,42.9408,-71.5305
03215,43.9451,-71.4525
03216,43.446,-71.7957
03217,43.7156,-71.631
03218,43.3348,-71.2887
03220,43.4674,-71.4749
03221,43.2517,-71.9617
03222,43.6276,-71.7826
03223,43.8497,-71.6815
03224,43.3499,-71.5508
03225,43.3587,-71.2382
03226,43.7043,-71.5112
03227,43.8277,-71.4679
03229,43.1978,-71.6968
03230,43.5263,-71.8716
03231,43.4665,-71.7568
03233,43.4247,-71.9333
03234,43.2152,-71.3387
03235,43.4484,-71.6717
03237,43.4299,-71.3816
03238,43.9829,-71.8987
03240,43.5762,-71.972
03241,43.7221,-71.8201
03242,43.1735,-71.8222
03243,43.5251,-71.7648
03244,43.1178,-71.9184
03245,43.75,-71.5878
03246,43.5727,-71.4775
03249,43.5579,-71.3848
03251,44.0854,-71.5727
03253,43.6309,-71.4997
03254,43.725,-71.3777
03255,43.3148,-72.0262
03256,43.6246,-71.6335
03257,43.4171,-71.9907
03258,43.257,-71.3991
03259,43.8718,-71.3963
03260,43.3536,-71.9219
03261,43.213,-71.2097
03262,43.9992,-71.738
03263,43.2954,-71.3109
03264,43.7298,-71.7113
03266,43.7904,-71.896
03268,43.3866,-71.7564
03269,43.5281,-71.6016
03273,43.299,-71.9321
03275,43.1604,-71.4178
03276,43.4278,-71.575
03278,43.2934,-71.8261
03279,43.9432,-71.8813
03280,43.1828,-72.0893
03281,43.0811,-71.7218
03282,43.8601,-71.929
03284,43.4929,-72.0309
03285,43.9241,-71.6437
03287,43.4453,-71.917
03290,43.1246,-71.1208
03291,43.1792,-71.1427
03293,43.9701,-71.6782
03301,43.2244,-71.5434
03303,43.2981,-71.672
03304,43.1309,-71.5307
03307,43.3254,-71.4431
03431,42.9627,-72.2956
03440,43.0541,-71.9825
03441,42.78,-72.4384
03442,43.0124,-71.9084
03443,42.8771,-72.4616
03444,42.8944,-72.0722
03445,43.0143,-72.213
03446,42.8605,-72.2974
03447,42.759,-72.1484
03448,43.0398,-72.2719
03449,42.9759,-71.9958
03450,42.9417,-72.091
03451,42.8075,-72.4986
03452,42.8295,-72.0597
03455,42.8984,-72.1835
03456,43.131,-72.2149
03457,42.9959,-72.1226
03458,42.869,-71.9382
03461,42.7525,-72.0108
03462,42.8955,-72.4047
03464,43.0792,-72.1143
03465,42.8272,-72.1901
03466,42.8956,-72.5097
03467,42.9693,-72.4323
03470,42.7788,-72.3441
03561,44.3318,-71.8114
03570,44.4992,-71.1577
03574,44.2533,-71.5982
03575,44.2962,-71.4237
03576,44.9162,-71.385
03579,44.9686,-71.0331
03580,44.1678,-71.7014
03581,44.3393,-71.1325
03582,44.5956,-71.4387
03583,44.3968,-71.4648
03584,44.4849,-71.5457
03585,44.2208,-71.8946
03586,44.2203,-71.7964
03588,44.6122,-71.2075
03590,44.7477,-71.5182
03592,45.123,-71.263
03593,44.3166,-71.3037
03595,44.3062,-71.5268
03597,44.736,-71.3929
03598,44.3797,-71.6322
03601,43.2337,-72.2958
03602,43.1338,-72.3304
03603,43.2515,-72.3813
03604,43.128,-72.3797
03605,43.2274,-72.1814
03607,43.1955,-72.2688
03608,43.0707,-72.4065
03609,43.1446,-72.4453
03740,44.1808,-71.9827
03741,43.6721,-72.0157
03743,43.3582,-72.3253
03745,43.4701,-72.3324
03746,43.4944,-72.2571
03748,43.5938,-72.1139
03750,43.7076,-72.2026
03751,43.449,-72.0887
03752,43.2892,-72.1152
03753,43.5171,-72.1496
03754,43.3775,-72.1384
03755,43.7177,-72.1892
03765,44.0343,-72.0529
03766,43.6346,-72.2372
03768,43.8052,-72.1158
03770,43.5341,-72.2665
03771,44.2851,-72.0093
03773,43.3853,-72.1994
03774,44.089,-71.995
03777,43.8951,-72.0693
03779,43.9724,-72.0287
03780,44.0324,-71.9775
03781,43.5528,-72.2841
03782,43.391,-72.0928
03784,43.6368,-72.3059
03785,44.0641,-71.8944
03801,43.073,-70.8053
03809,43.4539,-71.2126
03810,43.5272,-71.2807
03811,42.8369,-71.1601
03812,44.0802,-71.2921
03813,44.0973,-71.0452
03814,43.7694,-71.185
03816,43.6848,-71.2551
03817,43.888,-71.2327
03818,43.9736,-71.2497
03819,42.9285,-71.1211
03820,43.1888,-70.8868
03823,43.1729,-70.9411
03824,43.1174,-70.9197
03825,43.2136,-71.0429
03826,42.8863,-71.1332
03827,42.907,-70.9876
03830,43.6338,-71.0025
03832,43.9032,-71.0479
03833,42.9748,-70.9891
03835,43.3633,-71.0767
03836,43.8263,-71.0712
03837,43.4217,-71.329
03838,44.1123,-71.2409
03839,43.262,-70.9837
03840,43.0385,-70.8482
03841,42.8832,-71.1806
03842,42.9394,-70.8368
03844,42.9272,-70.8861
03845,44.1067,-71.1255
03846,44.1854,-71.1907
03847,44.0701,-71.1132
03848,42.9157,-71.0663
03849,43.9002,-71.1339
03850,43.6927,-71.3021
03851,43.4364,-71.0166
03852,43.4981,-70.9755
03853,43.64,-71.2791
03854,43.0655,-70.72
03855,43.4644,-71.1423
03856,43.0392,-70.9664
03857,43.0691,-70.9518
03858,42.8684,-71.0433
03860,44.0419,-71.1203
03861,43.1197,-71.0069
03862,42.9791,-70.8303
03864,43.6915,-71.1083
03865,42.8403,-71.0961
03867,43.3035,-70.9876
03868,43.3203,-70.9417
03869,43.2207,-70.842
03870,43.0152,-70.7608
03871,42.9822,-70.7748
03872,43.5697,-71.0448
03873,42.934,-71.1821
03874,42.887,-70.8607
03875,43.8955,-71.1861
03878,43.2529,-70.8851
03882,43.7458,-71.0421
03883,43.8078,-71.308
03884,43.2796,-71.1492
03885,43.0157,-70.9006
03886,43.8626,-71.287
03887,43.4862,-71.0628
03890,43.8081,-71.1967
03894,43.6122,-71.1718
03901,43.3006,-70.8433
03902,43.2215,-70.6377
03903,43.1488,-70.786
03904,43.1105,-70.7311
03905,43.0868,-70.6872
03906,43.346,-70.7776
03907,43.2546,-70.611
03908,43.2388,-70.7478
03909,43.1675,-70.6825
03910,43.1728,-70.6166
03911,43.1349,-70.6349
04001,43.5273,-70.921
04002,43.4959,-70.6794
04003,43.7316,-69.9878
04005,43.496,-70.4955
04006,43.4442,-70.3447
04008,44.0372,-69.8621
04009,44.0483,-70.7338
04010,43.9331,-70.9167
04011,43.9007,-69.9761
04015,43.9744,-70.5179
